ID,Spatial Scale,Region,Country Name,Technology Name,Metric,Unit,Data Source,Variable,Year,Value
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1927,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1927,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1927,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1927,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,21400000.0
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,758000.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,932800.0
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,885000.0
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,17400.0
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,50200.0
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,144000.0
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,19000.0
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,62600.0
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,94300.0
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,40000.0
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,26300.0
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,49000.0
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,419000.0
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,293000.0
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,22100.0
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,125000.0
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,10200.0
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,15100.0
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,15700.0
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,52000.0
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,83000.0
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,14500.0
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,11300.0
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1928,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,23100000.0
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,930000.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,1132100.0
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,981000.0
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,19100.0
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,55100.0
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,170000.0
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,24000.0
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,69200.0
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,99100.0
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,46000.0
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,29400.0
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,62000.0
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,474000.0
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,385000.0
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,24500.0
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,143000.0
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,11600.0
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,17600.0
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,18900.0
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,60000.0
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,97000.0
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,17100.0
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,11900.0
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1929,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,23000000.0
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,1109000.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,1622500.0
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,1056000.0
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,21100.0
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,60700.0
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,183000.0
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,28000.0
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,78500.0
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,104000.0
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,58000.0
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,32600.0
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,63000.0
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,467000.0
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,474000.0
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,24300.0
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,153000.0
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,11500.0
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,17400.0
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,19900.0
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,68000.0
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,104000.0
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,5100.0
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,18700.0
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,10500.0
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1930,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,22400000.0
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,1252000.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,1282800.0
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,1083000.0
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,22800.0
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,63900.0
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,186000.0
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,27000.0
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,85200.0
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,105000.0
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,62000.0
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,35700.0
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,62000.0
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,429000.0
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,549000.0
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,23800.0
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,151000.0
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,9800.0
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,22300.0
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,14000.0
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,75000.0
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,115000.0
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,19800.0
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,25100.0
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1931,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,20900000.0
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,1272000.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,950600.0
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,1128000.0
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,23700.0
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,188000.0
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,23000.0
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,83000.0
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,102000.0
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,64000.0
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,35700.0
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,60000.0
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,420000.0
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,574000.0
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,22900.0
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,149000.0
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,9000.0
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,23200.0
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,11700.0
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,81000.0
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,121000.0
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,20100.0
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,24200.0
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1932,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,20700000.0
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,1397000.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,922700.0
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,1203000.0
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,25700.0
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,66400.0
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,219000.0
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,22000.0
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,84100.0
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,98900.0
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,67000.0
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,36700.0
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,65000.0
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,438000.0
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,546000.0
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,20700.0
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,123000.0
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,5800.0
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,23300.0
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,13700.0
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,85000.0
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1933,129000.0
